店铺名称,店铺详情,店铺评分,评价人数,人均消费,店铺地址
1点点（张江汇智店）,https://www.meituan.com/meishi/40685654/,4.0,0,16.0,张江
CoCo都可（奉贤人民南店）,https://www.meituan.com/meishi/6015923/,4.4,988,12.0,南桥
CoCo都可（龙湖天街店）,https://www.meituan.com/meishi/192750737/,4.0,228,13.0,国家会展中心
茶百道（新天地马当路店）,https://www.meituan.com/meishi/1204835073/,3.9,40,16.0,淮海路
茶百道（蓝村路店）,https://www.meituan.com/meishi/1121574401/,4.8,24,15.0,塘桥
茶百道（昌里路店）,https://www.meituan.com/meishi/195076585/,4.5,22,15.0,上南地区
茶百道（益江路店）,https://www.meituan.com/meishi/1131472261/,4.9,20,15.0,张江
桂源铺（北翼广场店）,https://www.meituan.com/meishi/159875810/,4.5,494,13.0,宝山城区/吴淞
1点点（蒙山路店）,https://www.meituan.com/meishi/115041399/,4.3,0,15.0,金山卫
CoCo都可（南汇大润发店）,https://www.meituan.com/meishi/5880112/,4.1,1061,13.0,惠南镇
CoCo都可（铁峰店）,https://www.meituan.com/meishi/5457671/,4.4,366,12.0,杨行镇
巡茶（七宝店）,https://www.meituan.com/meishi/177277024/,4.6,128,18.0,七宝
茶百道（爱琴海店）,https://www.meituan.com/meishi/1043392867/,4.3,42,15.0,虹桥镇
CoCo都可（奉贤瓦洪店）,https://www.meituan.com/meishi/119430377/,4.5,161,13.0,奉贤区
CoCo都可（恒越荣欣广场店）,https://www.meituan.com/meishi/1292876917/,4.5,98,13.0,曹路
阿姨奶茶（清峪路店）,https://www.meituan.com/meishi/831972298/,4.3,15,14.0,梅川路步行街
茶百道（古方路店）,https://www.meituan.com/meishi/1290050948/,4.4,46,16.0,莲花路/南方商城
CoCo都可（高行沃尔玛店）,https://www.meituan.com/meishi/164488020/,4.2,346,13.0,高行
悸动奶茶烧仙草（曹建路店）,https://www.meituan.com/meishi/168230991/,3.6,43,16.0,唐湾镇/曹行镇
茶百道（田林路店）,https://www.meituan.com/meishi/195227832/,4.4,25,15.0,漕河泾/田林
茶百道（闻喜路店）,https://www.meituan.com/meishi/723901127/,4.6,24,15.0,彭浦新村
蜜雪冰城新鮮冰淇淋·茶飮（江桥万达店）,https://www.meituan.com/meishi/193580491/,4.5,1466,7.0,江桥
CoCo都可（隆昌店）,https://www.meituan.com/meishi/76944115/,4.3,416,10.0,平凉路/东外滩
CoCo都可（龙湖闵行天街店）,https://www.meituan.com/meishi/853245130/,4.5,645,13.0,老闵行/交大师大
茶百道（周浦万达店）,https://www.meituan.com/meishi/1798780355/,4.4,39,15.0,康桥/周浦
CoCo都可（松江店）,https://www.meituan.com/meishi/4009304/,4.3,428,13.0,松江镇
悸动烧仙草（万达广场店）,https://www.meituan.com/meishi/617735675/,4.4,32,16.0,宝山万达广场
CoCo都可（唐镇店）,https://www.meituan.com/meishi/193812321/,4.5,255,13.0,唐镇
蜜雪冰城（晨阳路店）,https://www.meituan.com/meishi/1374531636/,4.5,226,7.0,浦东机场/机场镇
CoCo都可（荣乐莲花店）,https://www.meituan.com/meishi/42269320/,4.4,470,13.0,松江镇
CoCo都可（日月光店）,https://www.meituan.com/meishi/1580262/,4.1,905,12.0,打浦桥/田子坊
茶百道（中原欧尚店）,https://www.meituan.com/meishi/1614481610/,4.7,25,16.0,中原地区
CoCo都可（江川二店）,https://www.meituan.com/meishi/164492436/,4.2,363,10.0,老闵行/交大师大
宫野奶茶,https://www.meituan.com/meishi/1040770023/,4.9,34,15.0,松江镇
茶百道（金海宝龙店）,https://www.meituan.com/meishi/1616822536/,4.6,35,15.0,曹路
蜜雪冰城（文汇路店）,https://www.meituan.com/meishi/1328543252/,4.3,318,5.0,松江大学城
茶百道（杨思路店）,https://www.meituan.com/meishi/1154030162/,4.6,20,15.0,世博园
CoCo都可（瑞金二路店）,https://www.meituan.com/meishi/116038181/,4.3,388,12.0,淮海路
CoCo都可（新南店）,https://www.meituan.com/meishi/5454803/,4.5,449,11.0,新桥
茶百道（新大陆店）,https://www.meituan.com/meishi/1758001492/,4.5,21,16.0,陆家嘴
CoCo都可（庙前街店）,https://www.meituan.com/meishi/1412629587/,4.4,1071,12.0,松江镇
CoCo都可（博山东店）,https://www.meituan.com/meishi/4950327/,4.2,524,10.0,金杨地区
CoCo都可（经纬汇店）,https://www.meituan.com/meishi/1029522521/,4.1,141,13.0,上海大学
CoCo都可（南汇世纪联华店）,https://www.meituan.com/meishi/165647250/,4.3,401,12.0,惠南镇
茶百道（佘山宝地国际商业广场店）,https://www.meituan.com/meishi/898960353/,4.8,46,15.0,佘山
